 Created on  8Aug2024 at 19:16:26 
    0.013497   -0.211650   -0.977252
   -0.892184   -0.272863   -0.359936
    0.273272    0.961096    0.040225
    0.262496   -0.956827   -0.124811
   -0.375596    0.718596    0.585275
    0.217855   -0.739092    0.637403
   -0.249814    0.819803   -0.515282
    0.991850   -0.068243   -0.107594
    0.107731    0.917878    0.381960
   -0.069962   -0.243590    0.967352
    0.068946    0.670580   -0.738627
   -0.224622    0.339833   -0.913268
    0.175189    0.016050    0.984404
   -0.125430   -0.168466    0.977695
   -0.639737   -0.219201   -0.736674
    0.016420   -0.856182    0.516414
   -0.594901   -0.297783   -0.746604
    0.016025    0.981885    0.188798
    0.996026   -0.010161   -0.088485
    0.549470   -0.110712    0.828146
   -0.000013    0.982749   -0.184945
   -0.919814    0.153064    0.361266
    0.975017    0.100399    0.198145
    0.540802   -0.839888    0.046070
   -0.022738    0.983579    0.179038
   -0.371562    0.394744    0.840309
    0.426006   -0.803394    0.416024
    0.767797   -0.506762    0.392019
   -0.105265    0.522519   -0.846105
   -0.583033    0.711283    0.392617
    0.769759    0.065285   -0.634987
   -0.150223   -0.988301    0.026347
   -0.475204    0.826306   -0.302323
   -0.582157   -0.348714    0.734501
    0.679797    0.691700   -0.243779
   -0.055928   -0.994677    0.086546
    0.961282    0.184535   -0.204657
   -0.051761   -0.796793    0.602031
   -0.097156    0.538329   -0.837116
   -0.010247   -0.927346    0.374065
    0.703289    0.705919   -0.084041
    0.653169   -0.604596    0.455887
    0.482117    0.870347    0.100297
    0.233678   -0.803116    0.548087
    0.981710   -0.182549    0.054055
    0.151597   -0.915906    0.371663
   -0.405726    0.064286   -0.911731
   -0.205511   -0.791210   -0.575979
   -0.233438    0.852442    0.467814
   -0.264881   -0.744056    0.613366
   -0.018907    0.923003   -0.384329
    0.618468   -0.531996   -0.578340
    0.877347    0.095034    0.470352
    0.019758   -0.439057    0.898242
    0.777361    0.286373   -0.560090
    0.711571   -0.385072    0.587696
   -0.054568    0.126029   -0.990525
   -0.941576    0.154723    0.299157
    0.555041    0.019934    0.831584
    0.656189   -0.754171    0.025334
    0.519745   -0.027569   -0.853876
   -0.737118   -0.513251   -0.439579
    0.677341    0.095155    0.729489
    0.523629    0.849375    0.066144
    0.888574   -0.405297    0.214873
   -0.863244    0.489278    0.124164
    0.396092    0.496144   -0.772627
    0.228352    0.091743    0.969247
   -0.578529    0.539797   -0.611493
   -0.196517    0.040021    0.979683
    0.163343    0.957005    0.239708
   -0.489897   -0.097739    0.866284
   -0.561249   -0.557344   -0.611856
    0.536555   -0.183340    0.823708
    0.243783    0.866947   -0.434711
   -0.670823   -0.680735   -0.294272
    0.394219    0.771576    0.499262
    0.203518   -0.901478    0.381992
   -0.117918    0.961434    0.248476
    0.448932   -0.837228    0.312264
    0.754064   -0.652766    0.072688
   -0.952486   -0.050988   -0.300285
    0.969300    0.224002    0.101389
   -0.761222   -0.643784    0.078000
