 Created on  6Dec2024 at 17:07:29 
    0.003511   -0.351648    0.936126
    0.208630   -0.384040    0.899437
    0.067051   -0.264844   -0.961957
    0.300482   -0.136339    0.943993
   -0.001579    0.065314   -0.997863
   -0.044408   -0.182070   -0.982282
   -0.283046   -0.429748   -0.857439
    0.436159   -0.743472    0.506966
    0.369249    0.108627   -0.922960
    0.063113    0.314601   -0.947123
    0.356678    0.186617    0.915399
   -0.038787    0.024286    0.998952
   -0.224577    0.866532   -0.445744
    0.223210   -0.089857   -0.970620
   -0.571374    0.253965    0.780406
    0.076900   -0.164943    0.983301
    0.519082    0.547302   -0.656517
   -0.339901   -0.040585   -0.939585
    0.068112    0.008155    0.997644
    0.115153    0.144408    0.982795
   -0.134589   -0.111397   -0.984620
   -0.031446    0.720609    0.692628
    0.046903   -0.426277    0.903376
   -0.085582    0.517527    0.851376
   -0.262676    0.318504   -0.910800
   -0.001106    0.264489   -0.964388
    0.178473   -0.093220   -0.979519
   -0.184582   -0.618454    0.763835
    0.181988   -0.489318   -0.852906
   -0.268617    0.138681   -0.953212
   -0.216772   -0.618136    0.755591
   -0.384206   -0.118970    0.915550
   -0.584557    0.159895   -0.795441
   -0.694245   -0.209502   -0.688573
    0.147713   -0.180599    0.972402
   -0.099347   -0.088985   -0.991066
   -0.455788    0.364674   -0.811954
   -0.248342   -0.343647   -0.905667
    0.158601    0.113930    0.980747
    0.490440   -0.267480    0.829411
    0.236139   -0.382121    0.893433
   -0.089802   -0.308199    0.947074
    0.405749    0.310466    0.859639
    0.236104   -0.398158    0.886411
   -0.030234    0.071739   -0.996965
    0.343977    0.712801   -0.611224
    0.238125   -0.055542    0.969645
    0.146802   -0.182232    0.972235
    0.315546    0.400827   -0.860098
    0.297561    0.128563   -0.946007
   -0.269811   -0.672850    0.688822
   -0.219956   -0.105584    0.969779
    0.292868    0.217888   -0.930996
    0.901372   -0.068845   -0.427537
   -0.810374   -0.186493    0.555441
    0.395369    0.146390    0.906782
   -0.116053    0.413159   -0.903234
    0.013586   -0.462713    0.886404
   -0.473411   -0.610245    0.635203
    0.176711   -0.433680    0.883569
   -0.062397   -0.121133   -0.990673
    0.154317   -0.233781   -0.959965
    0.336099   -0.362113   -0.869432
   -0.826263    0.028529    0.562561
    0.009493    0.087739   -0.996098
    0.186109   -0.228838   -0.955508
   -0.371170   -0.317838    0.872474
