 Created on  5Nov2024 at 15:15:29 
    0.214721   -0.451573    0.866012
    0.181931    0.258326   -0.948772
    0.300442    0.331179   -0.894458
    0.455227   -0.324425    0.829166
   -0.239594    0.150700    0.959106
    0.261053    0.255757   -0.930828
    0.502124    0.786865   -0.358768
   -0.156833    0.120094    0.980296
   -0.252908    0.258634    0.932280
    0.790253   -0.309330   -0.528975
    0.350401    0.592341   -0.725501
   -0.417365   -0.110573    0.901987
   -0.027597   -0.308467    0.950835
    0.637342    0.191810   -0.746327
    0.605861   -0.426065   -0.671864
    0.503787   -0.419421    0.755172
    0.198652    0.697352    0.688649
    0.069722   -0.394499   -0.916248
   -0.162206   -0.023733   -0.986471
    0.105321   -0.262618    0.959135
   -0.338093    0.309426    0.888791
    0.593871   -0.243488   -0.766832
   -0.031878    0.279542   -0.959604
   -0.429850   -0.069476    0.900223
   -0.868071    0.041129    0.494734
    0.267615    0.772740   -0.575548
   -0.308870    0.337855   -0.889074
   -0.513849    0.312589    0.798904
   -0.582177   -0.217405    0.783457
    0.251864    0.483045   -0.838590
    0.121975    0.799601   -0.588014
    0.144871   -0.240375    0.959808
    0.867556    0.364911    0.337916
   -0.244237   -0.124877   -0.961641
   -0.245523   -0.257765   -0.934492
   -0.381192    0.160443    0.910467
   -0.592694    0.527919    0.608288
    0.834467    0.233833   -0.498986
    0.636869   -0.744177   -0.201493
   -0.524896    0.452372    0.721002
   -0.356513    0.171950    0.918331
    0.915187    0.213819    0.341635
    0.999077   -0.042390    0.006963
   -0.008246   -0.684964    0.728530
   -0.349551   -0.806600    0.476667
    0.470654    0.464502   -0.750149
    0.563416    0.298296   -0.770443
   -0.165070    0.036348    0.985612
   -0.663777    0.100962    0.741085
    0.557245    0.258954   -0.788936
    0.683258    0.306107   -0.662916
   -0.269625   -0.409610    0.871506
   -0.131418    0.146942    0.980376
    0.314053   -0.544697   -0.777609
    0.508513    0.608523   -0.609192
   -0.132264    0.176323    0.975406
   -0.122841   -0.273868    0.953890
   -0.174753   -0.413235   -0.893699
    0.827818   -0.217871   -0.516962
    0.008605    0.091102    0.995804
