 Created on  8Aug2024 at 16:12:33 
   -0.619358   -0.281207    0.733019
   -0.270700   -0.557095   -0.785090
    0.094967    0.659846    0.745376
    0.597012   -0.699434   -0.392899
   -0.835158    0.528879    0.150986
    0.968694    0.234711   -0.080890
   -0.224916   -0.755671    0.615121
   -0.075191   -0.122590   -0.989605
   -0.575228    0.343870    0.742204
   -0.509104   -0.607477   -0.609742
   -0.464592    0.629682    0.622620
    0.832045    0.175977   -0.526054
   -0.909311   -0.228766    0.347591
    0.568785   -0.494816   -0.656994
   -0.743367    0.438937   -0.504718
    0.764583    0.454083    0.457407
   -0.833860    0.156748   -0.529251
    0.807763   -0.292606   -0.511763
   -0.250169   -0.828641    0.500770
    0.998289   -0.017269    0.055869
   -0.931278    0.268965    0.245721
    0.992695    0.069557   -0.098585
   -0.834848    0.350276    0.424659
    0.378782   -0.637239   -0.671156
   -0.692789   -0.077618    0.716951
    0.346471    0.829389   -0.438259
   -0.652296   -0.342366    0.676236
    0.450945   -0.890247   -0.064101
   -0.790545    0.519222    0.324725
    0.368610   -0.929584    0.000285
    0.435716    0.900084   -0.000782
   -0.751402   -0.528237   -0.395425
   -0.947474    0.314296   -0.059259
    0.179854   -0.873865   -0.451678
   -0.241595    0.860229    0.449041
    0.594554   -0.721043   -0.355812
    0.155749    0.641789    0.750899
    0.826134    0.295552   -0.479741
   -0.105566   -0.260878    0.959582
    0.889686   -0.390215   -0.237044
   -0.290314    0.145791    0.945760
    0.739358    0.045693   -0.671761
   -0.926152   -0.160776    0.341165
    0.549556   -0.578987   -0.602297
   -0.399511   -0.131048    0.907313
    0.301801   -0.941681    0.148841
   -0.745592    0.657724   -0.107195
    0.499277   -0.104464   -0.860122
   -0.102348   -0.722290    0.683975
    0.517685    0.790299    0.327765
   -0.502344   -0.863714   -0.040605
    0.007868    0.139259   -0.990225
   -0.011130   -0.136523    0.990574
    0.536745   -0.102285   -0.837522
   -0.775093    0.627606    0.073084
   -0.530029   -0.651553   -0.542723
    0.119695    0.257015    0.958966
   -0.516603   -0.324703   -0.792268
   -0.869513    0.228084    0.438092
   -0.096640   -0.578635   -0.809841
   -0.128010    0.859371    0.495071
   -0.201640   -0.527013   -0.825590
    0.660533   -0.080640    0.746454
    0.835022    0.172787    0.522381
   -0.617916   -0.122719    0.776608
    0.248311    0.352149   -0.902404
   -0.157471    0.444960    0.881597
    0.872032    0.478036    0.105078
   -0.025905   -0.220247    0.975100
    0.397391   -0.493457   -0.773680
   -0.425918    0.123602    0.896279
    0.601252   -0.070999   -0.795899
   -0.574833   -0.061667    0.815943
   -0.353974    0.729052   -0.585820
    0.007844   -0.974440    0.224510
    0.682937    0.228168   -0.693929
   -0.823838   -0.184589    0.535927
    0.526298    0.216337   -0.822319
    0.246189    0.023859    0.968928
   -0.129853   -0.056313   -0.989933
   -0.400945    0.748338    0.528426
   -0.317905    0.495902   -0.808095
   -0.047177   -0.463688    0.884742
    0.833779    0.289795   -0.469926
   -0.992375    0.026074    0.120467
    0.348931    0.542304   -0.764299
   -0.741673   -0.489145    0.458975
    0.462503   -0.187495   -0.866566
   -0.876968   -0.272906    0.395538
   -0.039175   -0.051262   -0.997917
   -0.552545   -0.833359    0.014415
   -0.093768    0.928042   -0.360478
   -0.511795    0.372741    0.774035
    0.585218   -0.357636   -0.727748
    0.201853   -0.194290    0.959951
    0.195635    0.756401   -0.624166
   -0.140180   -0.389563    0.910269
    0.519595    0.120870   -0.845820
    0.266392    0.575959    0.772856
    0.565357   -0.543790   -0.620213
   -0.588041   -0.434678    0.682101
    0.455629    0.474680   -0.753048
   -0.468907   -0.265322    0.842455
    0.852107    0.007588   -0.523312
   -0.197703   -0.668286    0.717152
    0.196672    0.528343   -0.825938
   -0.462369    0.131801    0.876837
   -0.631807    0.067982   -0.772139
   -0.561211    0.169014    0.810232
   -0.212595    0.970428   -0.114334
   -0.661009   -0.746492    0.076260
    0.891741   -0.178985   -0.415647
   -0.764665   -0.155418    0.625406
   -0.075051   -0.683142   -0.726419
   -0.036324    0.976011    0.214670
    0.318092   -0.287423   -0.903441
    0.084367    0.087106    0.992620
    0.078238   -0.113770   -0.990422
   -0.107103    0.501761    0.858350
   -0.058857    0.267542   -0.961747
   -0.103894    0.303116    0.947273
    0.480261    0.037000   -0.876345
   -0.768991   -0.338061    0.542557
   -0.282119    0.248368   -0.926673
   -0.896489   -0.442272   -0.026505
    0.361002    0.307249   -0.880498
   -0.409054   -0.911535    0.042171
   -0.742365    0.361383   -0.564177
    0.491365   -0.041442    0.869967
    0.313869    0.770445   -0.554887
    0.006582    0.834498    0.550972
    0.214468    0.505928   -0.835488
   -0.429387    0.249962    0.867840
   -0.855098    0.089957   -0.510602
   -0.774792    0.111346    0.622333
    0.915763   -0.137299   -0.377529
   -0.521364    0.685737    0.507883
    0.311443   -0.098052   -0.945193
   -0.633473    0.447832    0.630998
   -0.538082   -0.800842   -0.262909
    0.174691   -0.219239    0.959905
    0.292557   -0.072369   -0.953506
   -0.858713    0.468727    0.207140
    0.669599    0.562085   -0.485487
   -0.401151   -0.912021   -0.085415
    0.319296    0.119796   -0.940052
   -0.229954    0.456048    0.859733
   -0.073234    0.409359   -0.909429
   -0.771626   -0.634161   -0.049332
    0.623608    0.626168   -0.468004
   -0.113270   -0.740928    0.661964
    0.930302   -0.346659    0.119858
    0.028409    0.315140    0.948620
