 Created on  6Dec2024 at 16:52:30 
   -0.087803   -0.478062   -0.873926
   -0.253516    0.398330   -0.881512
    0.088458   -0.033734   -0.995508
    0.319630    0.177667    0.930737
   -0.356133    0.043784   -0.933409
    0.239219   -0.141930    0.960536
   -0.014772   -0.169133    0.985483
    0.038656    0.190018    0.981019
    0.436842    0.126531   -0.890595
    0.189334    0.025376    0.981585
   -0.287833    0.381062   -0.878603
   -0.282123    0.185757    0.941223
   -0.003628   -0.128601    0.991690
   -0.351255   -0.111384    0.929631
    0.027964   -0.248622    0.968197
   -0.006526    0.495220    0.868743
   -0.152620    0.113768   -0.981715
    0.230708   -0.253007   -0.939554
    0.012028    0.234326    0.972084
   -0.247425   -0.106714   -0.963012
    0.239311   -0.755939    0.609333
    0.234929    0.558621    0.795457
    0.227046   -0.517498    0.825013
   -0.085079    0.370824   -0.924798
    0.079661   -0.298788   -0.950989
   -0.294727   -0.327824   -0.897590
   -0.220182    0.705320   -0.673828
   -0.185211   -0.410732   -0.892746
   -0.425056    0.092480    0.900430
    0.111921    0.425928    0.897808
   -0.055009    0.613073   -0.788109
   -0.286553    0.317986    0.903754
    0.219342   -0.078631    0.972474
   -0.146795    0.278587   -0.949126
   -0.236455    0.314927   -0.919190
    0.240736   -0.148972    0.959090
    0.039781   -0.465824   -0.883983
    0.146822    0.391161   -0.908535
    0.137009   -0.171785   -0.975561
    0.400408    0.029684    0.915856
    0.212785    0.061950   -0.975133
   -0.361433   -0.180984    0.914664
   -0.016105   -0.153392    0.988034
    0.214569   -0.681802    0.699361
    0.161365   -0.143366   -0.976426
    0.253739   -0.087408    0.963315
    0.203282   -0.350887   -0.914087
   -0.223907    0.020312   -0.974399
    0.573062   -0.491180    0.656005
   -0.249541   -0.243610    0.937221
   -0.276078   -0.360815    0.890839
    0.086088    0.429323    0.899039
    0.015135   -0.152280   -0.988222
   -0.094022    0.312748   -0.945171
   -0.146904    0.439500    0.886148
    0.172846   -0.034433   -0.984347
   -0.010997   -0.309693    0.950773
   -0.159217    0.579481    0.799282
    0.233719    0.322152    0.917384
   -0.108374   -0.100686   -0.988998
    0.569633    0.386006   -0.725615
    0.272009   -0.547457   -0.791393
   -0.052893   -0.273010   -0.960556
   -0.184653    0.329510   -0.925919
    0.509449    0.063978   -0.858119
   -0.116960   -0.035034    0.992518
    0.362160   -0.041979   -0.931170
    0.311547   -0.485644    0.816755
    0.071494   -0.367749    0.927173
