 Created on  1Aug2024 at 19:52:59 
   -0.404849   -0.249637    0.879647
   -0.133397   -0.969051    0.207717
    0.271295   -0.006439   -0.962475
   -0.011258    0.347756   -0.937518
   -0.597597   -0.289636    0.747655
   -0.087607   -0.279532    0.956131
    0.315005   -0.616822   -0.721320
    0.150570   -0.689765    0.708204
   -0.124666   -0.050243   -0.990926
   -0.530794   -0.444086   -0.721835
    0.015430    0.503210    0.864027
   -0.297985   -0.881130    0.367171
   -0.345965   -0.155591   -0.925257
    0.777273   -0.072183   -0.625009
   -0.445754   -0.678786    0.583569
   -0.200257    0.250336    0.947222
    0.461040   -0.349449   -0.815676
    0.076538   -0.093282   -0.992694
    0.679862   -0.566700    0.465444
   -0.171054   -0.268642    0.947931
   -0.186774    0.411885   -0.891889
   -0.008709   -0.049207   -0.998751
    0.506761    0.602520    0.616574
   -0.164183   -0.254109    0.953138
   -0.420073    0.189136   -0.887562
   -0.354653    0.775959   -0.521642
   -0.731241    0.266824    0.627767
   -0.008948    0.612946   -0.790074
    0.310048   -0.801002    0.512119
    0.655793    0.124404    0.744621
    0.605914   -0.057706   -0.793435
   -0.393102    0.011822   -0.919419
    0.119788   -0.265778    0.956563
   -0.168666   -0.496032    0.851765
   -0.095367    0.519190   -0.849322
    0.421024    0.386509   -0.820579
   -0.096672    0.245716    0.964509
    0.538074   -0.609565    0.582157
   -0.193671    0.111988   -0.974654
   -0.270483    0.110967   -0.956308
   -0.805657   -0.581648    0.112260
   -0.196216   -0.089385    0.976478
   -0.110914    0.269529   -0.956583
    0.072823    0.450924   -0.889587
    0.135474   -0.484216    0.864397
    0.191370    0.299240    0.934790
    0.123926    0.013943   -0.992193
   -0.571824    0.004018    0.820366
   -0.047257   -0.324689   -0.944639
    0.193479   -0.459868   -0.866653
   -0.036931   -0.998796    0.032304
    0.554571    0.287738    0.780806
    0.025267   -0.700988   -0.712726
   -0.054781    0.199157   -0.978435
   -0.385878   -0.078781    0.919180
    0.232117   -0.750676    0.618553
    0.308425    0.334049   -0.890666
   -0.466313    0.533101   -0.705943
    0.290996   -0.771682    0.565534
   -0.496096   -0.558694    0.664642
    0.123077   -0.392311   -0.911561
   -0.455201   -0.060001   -0.888365
    0.039152   -0.109608    0.993203
    0.521236   -0.331117    0.786559
    0.203717    0.978994    0.008399
   -0.349588    0.035072   -0.936247
   -0.185270    0.259238    0.947877
   -0.566676    0.276401   -0.776196
    0.242048   -0.685777    0.686384
   -0.768268   -0.551795    0.324478
    0.375622    0.194581   -0.906116
   -0.394568    0.873542   -0.285028
    0.559338   -0.195025    0.805671
    0.386237    0.482122    0.786371
   -0.623318    0.671894   -0.400043
    0.186916    0.521630   -0.832445
   -0.518627   -0.158424    0.840195
   -0.246820   -0.413794    0.876273
   -0.553231    0.638761   -0.534714
    0.053036   -0.388767   -0.919808
    0.357402    0.082019    0.930342
    0.622934   -0.446643    0.642232
    0.407009    0.192383   -0.892935
    0.006348    0.690700   -0.723114
    0.001458   -0.256182    0.966627
    0.120568    0.063013    0.990703
    0.261068   -0.081020   -0.961914
   -0.066656   -0.136992    0.988327
    0.800627    0.557241   -0.220179
   -0.268059    0.345904   -0.899163
    0.429587   -0.550428    0.715880
    0.237833   -0.891399    0.385801
   -0.438272    0.258263   -0.860940
   -0.113492   -0.101846   -0.988305
   -0.206983    0.160574    0.965077
   -0.140912   -0.213028    0.966832
    0.015501    0.552335   -0.833478
   -0.231128   -0.181543   -0.955836
   -0.443657   -0.730495    0.519178
   -0.163201   -0.552551    0.817345
    0.028451    0.242322   -0.969779
    0.086308    0.713386   -0.695436
   -0.065011   -0.723919    0.686815
    0.716948   -0.680282    0.152324
   -0.143243    0.821903   -0.551323
   -0.289962    0.707156   -0.644866
    0.169056   -0.378303    0.910114
   -0.023542    0.269063   -0.962835
    0.136364   -0.661470    0.737470
   -0.551891   -0.175038    0.815339
   -0.007159    0.381678   -0.924268
   -0.354437    0.338915   -0.871499
    0.539731    0.475083    0.694973
   -0.114132   -0.555399    0.823714
   -0.080833   -0.148287   -0.985635
   -0.581460   -0.417900   -0.698043
    0.091905    0.031395    0.995273
   -0.665108   -0.103229    0.739578
   -0.265481    0.357345   -0.895447
   -0.371787    0.256455   -0.892191
    0.297565   -0.293354    0.908514
    0.493229    0.239670    0.836232
   -0.328521   -0.408012   -0.851822
    0.110850    0.236404   -0.965311
   -0.496915    0.161616    0.852617
    0.362068    0.141926    0.921284
   -0.396723    0.642146   -0.655941
    0.073293   -0.883840    0.462012
   -0.098417    0.940120   -0.326327
   -0.166337    0.900910   -0.400866
    0.307631   -0.010744    0.951445
    0.176017   -0.734459    0.655430
   -0.275063   -0.140025   -0.951175
   -0.197558    0.549500   -0.811801
   -0.142170   -0.518177    0.843374
    0.261160   -0.224588    0.938805
   -0.050313    0.432555   -0.900203
    0.021671    0.267084   -0.963430
   -0.584655   -0.640963    0.497338
   -0.372093   -0.391395    0.841639
   -0.447207    0.047605   -0.893163
